"uuid","base","subbase","classe_cnj","orgao_julgador","relator_id","data_julgamento","n_mentions","n_ementa","n_moral","award_ementa","award_any","harm_type"
"3e88bcbd-8b3a-437d-aa0a-5431c91e9332","acordaos","acordaos",12122,"2ª TURMA CRIMINAL","411a3306dd",2024-03-14,0,NA,NA,NA,NA,"other"
"3ee844b9-e462-4d9e-b8ae-59534d613994","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","914b495bd0",2024-03-04,14,7,6,5000,5000,"credit_listing"
"3f20b23c-e04f-45c0-a95c-de2c33fbb0b1","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","73ededad40",2024-03-26,0,NA,NA,NA,NA,"other"
"3fa4506f-60dc-4979-a859-6f14cf217b10","acordaos","acordaos",198,"6ª TURMA CÍVEL","07312dd681",2024-03-20,11,1,7,400000,400000,"other"
"402c4ac2-ea13-4927-8ea2-d93c089aff1c","acordaos","acordaos",198,"1ª TURMA CÍVEL","3d2279fc77",2024-03-06,4,0,1,NA,10000,"credit_listing"
"40398ac8-9675-4ee6-9e1b-7beb7526d9f4","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","c6e9121773",2024-03-26,5,2,3,NA,NA,"consumer_service"
"404b6606-69db-4b22-b171-402051c55393","acordaos","acordaos",417,"2ª TURMA CRIMINAL","fb9644293f",2024-03-25,5,0,3,NA,500,"other"
"40dd2ac9-0fad-43e1-b7b8-8b52fe996071","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","a54167199f",2024-03-26,6,3,0,NA,NA,"other"
"411cc2d5-8a1c-40b6-ba07-367d6820b3a5","acordaos","acordaos",198,"3ª TURMA CÍVEL","8e30f54e7a",2024-03-14,11,0,9,NA,NA,"medical"
"4192a5ad-2e33-4d7e-abdb-2718116b30b8","acordaos","acordaos",198,"1ª TURMA CÍVEL","3f8f67d7e7",2024-03-06,7,1,1,NA,NA,"banking_fraud"
"42201e01-5f4a-4f90-82e4-a30c20960fd4","acordaos","acordaos",198,"7ª TURMA CÍVEL","15e13c4a5d",2024-03-13,9,2,8,NA,NA,"honor_privacy"
"423c0f17-2563-4574-8942-c0bec0ba8ec5","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","914b495bd0",2024-03-18,4,2,4,6000,6000,"other"
